
   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000   0.397473   0.008560   0.052464   0.061024   0.000000  -0.000000  -0.394625   0.000000  -0.000000   15.0000     0.4336
   -4.000     0.000   0.474191   0.012167   0.043599   0.055766   0.000000  -0.000000  -0.419660   0.000000  -0.000000   15.0000     0.3849
   -3.000     0.000   0.550670   0.016407   0.035825   0.052232   0.000000  -0.000000  -0.444498   0.000000  -0.000000   15.0000     0.3499
   -2.000     0.000   0.626854   0.021274   0.029103   0.050376   0.000000  -0.000000  -0.469128   0.000000  -0.000000   15.0000     0.3234
   -1.000     0.000   0.702685   0.026758   0.023589   0.050347   0.000000  -0.000000  -0.493536   0.000000  -0.000000   15.0000     0.3028
    0.000     0.000   0.778110   0.032848   0.019352   0.052200   0.000000  -0.000000  -0.517713   0.000000  -0.000000   15.0000     0.2862
    1.000     0.000   0.853072   0.039533   0.017039   0.056571   0.000000  -0.000000  -0.541656   0.000000  -0.000000   15.0000     0.2726
    2.000     0.000   0.927518   0.046796   0.016063   0.062859   0.000000  -0.000000  -0.565359   0.000000  -0.000000   15.0000     0.2613
    3.000     0.000   1.001395   0.054621   0.015507   0.070129   0.000000  -0.000000  -0.588802  -0.000000  -0.000000   15.0000     0.2518
    4.000     0.000   1.074650   0.062992   0.015173   0.078164   0.000000  -0.000000  -0.611958  -0.000000  -0.000000   15.0000     0.2436
    5.000     0.000   1.147232   0.071886   0.015264   0.087150   0.000000  -0.000000  -0.634810  -0.000000  -0.000000   15.0000     0.2365
    6.000     0.000   1.219090   0.081283   0.015512   0.096796   0.000000  -0.000000  -0.657326  -0.000000  -0.000000   15.0000     0.2304
    7.000     0.000   1.290177   0.091161   0.015700   0.106861   0.000000  -0.000000  -0.679475  -0.000000  -0.000000   15.0000     0.2250
    8.000     0.000   1.360444   0.101493   0.016063   0.117556   0.000000  -0.000000  -0.701238  -0.000000  -0.000000   15.0000     0.2202
    9.000     0.000   1.429846   0.112254   0.016394   0.128648   0.000000  -0.000000  -0.722581  -0.000000  -0.000000   15.0000     0.2160
   10.000     0.000   1.498338   0.123417   0.016956   0.140373   0.000000  -0.000000  -0.743494  -0.000000  -0.000000   15.0000     0.2122
   11.000     0.000   1.565876   0.134952   0.017551   0.152503   0.000000  -0.000000  -0.763942  -0.000000  -0.000000   15.0000     0.2088
   12.000     0.000   1.632420   0.146830   0.018158   0.164989   0.000000  -0.000000  -0.783899  -0.000000   0.000000   15.0000     0.2058
   13.000     0.000   1.697930   0.159020   0.018870   0.177889   0.000000  -0.000000  -0.803348  -0.000000  -0.000000   15.0000     0.2031
   14.000     0.000   1.762368   0.171488   0.019505   0.190993   0.000000  -0.000000  -0.822254  -0.000000  -0.000000   15.0000     0.2006
   15.000     0.000   1.825697   0.184202   0.020140   0.204342   0.000000  -0.000000  -0.840598  -0.000000  -0.000000   15.0000     0.1984


