alpha	L	D	M
-5			
-4			
-3			
-2			
-1			
0	77.77071	4.9165282	-20.295422
1	86.796858	5.6432818	-21.526698
2	96.460188	6.4611842	-22.86468
3	105.872134	7.3708808	-24.164178
4	115.036582	8.3662232	-25.433954
5	124.656288	9.3521302	-26.771548
6	132.436386	10.5957416	-27.870582
7	140.564778	11.8332348	-29.034868
8	148.11089	10.5247066	-30.13005
9	156.065816	14.4862158	-31.322076
10	163.4132522	15.76667774	-32.45237315
11	168.7405382	17.44115277	-33.3050633
12			
13			
14	179.0456746	22.81398343	-35.10809868
15	186.4244656	23.72235342	-36.43884805
16	187.707958	25.360444	-36.823976
17			
18			
